JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457027.32917,0.62,,,Vis.,SGQ,B,alf CMi mv=0.37,alf Tau mv=0.86,Tirion 2000.0,"""Padova, Guizza. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457027.340,0.50,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2457027.44444,0.7,,,Vis.,BANH,,0.4,0.9,10 STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457028.26250,0.65,,,Vis.,SGQ,B,alf Ori mv=0.13,alf Tau mv=0.86,Tirion 2000.0,"""Padova, Ponte del Bassanello. Naked eye with airmass correction. """,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457028.53125,0.3,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457028.69792,0.7,,,Vis.,HTN,,01,09,training,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457029.2958,0.607,0.034,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.66,Z,1.64,1.780,,ALF ORI,AAVSO,STD,,,,
2457029.3340,0.621,0.020,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.45,Z,1.64,1.763,,ALF ORI,AAVSO,STD,,,,
2457029.33681,0.66,,,Vis.,SGQ,B,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0,"""Roma, Sesto Celere: Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457029.43,0.65,,,Vis.,BTAD,B,01,09,10star,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457029.52292,0.65,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457029.74653,0.8,,,Vis.,HTN,,01,09,training,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457029.87778,0.6,,,Vis.,BEB,B,04,,10 STAR,Moon,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457030.58750,0.3,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457031.343,0.89,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2457031.8630,-3.097,0.008,,J,KCD,,GAMMA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457031.8630,-4.17,0.016,,H,KCD,,GAMMA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457032.22926,0.64,,,Vis.,SGQ,,Alf Tau mv=0.86,,Tirion2000.0,"""Roma, Sesto Celere. naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457032.60764,0.6,,,Vis.,MCOA,,04,09,10 Star Tutorial,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457032.68681,0.5,,,Vis.,JDAC,B,0.4,0.9,10 Star Tutorial,Naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457033.24722,0.6,,,Vis.,SGQ,,Alf Tau mv=0.86,,Tirion2000.0,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457033.47,0.7,,,Vis.,SBEA,,01,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457033.6,0.9,,,Vis.,MOW,,05,12,680101,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457034.03403,0.7,,,Vis.,SANG,,0.1,0.9,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457034.2,0.3,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2457034.2299,0.604,0.022,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,2.29,Z,1.64,1.727,,ALF ORI,AAVSO,STD,,,,
2457034.2306,0.610,0.008,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,2.27,Z,1.64,1.740,,ALF ORI,AAVSO,STD,,,,
2457034.2486,0.595,0.019,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.99,Z,1.64,1.740,,ALF ORI,AAVSO,STD,,,,
2457034.2556,0.648,0.015,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.91,Z,1.64,1.768,,ALF ORI,AAVSO,STD,,,,
2457034.2660,0.617,0.024,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.80,Z,1.64,1.747,,ALF ORI,AAVSO,STD,,,,
2457034.2667,0.616,0.039,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.79,Z,1.64,1.766,,ALF ORI,AAVSO,STD,,,,
2457034.2681,0.583,0.015,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.78,Z,1.64,1.730,,ALF ORI,AAVSO,STD,,,,
2457034.2694,0.627,0.010,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.77,Z,1.64,1.735,,ALF ORI,AAVSO,STD,,,,
2457034.2958,0.610,0.018,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.57,Z,1.64,1.745,,ALF ORI,AAVSO,STD,,,,
2457034.2965,0.631,0.015,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.57,Z,1.64,1.753,,ALF ORI,AAVSO,STD,,,,
2457034.2979,0.608,0.015,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.56,Z,1.64,1.748,,ALF ORI,AAVSO,STD,,,,
2457034.2993,0.620,0.034,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.55,Z,1.64,1.752,,ALF ORI,AAVSO,STD,,,,
2457034.3,0.7,,,Vis.,SYU,,04,09,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457034.3222,0.627,0.009,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.44,Z,1.64,1.747,,ALF ORI,AAVSO,STD,,,,
2457034.3229,0.619,0.018,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.44,Z,1.64,1.730,,ALF ORI,AAVSO,STD,,,,
2457034.3243,0.618,0.025,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.44,Z,1.64,1.734,,ALF ORI,AAVSO,STD,,,,
2457034.3806,0.621,0.021,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.33,Z,1.64,1.754,,ALF ORI,AAVSO,STD,,,,
2457034.3819,0.598,0.028,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.32,Z,1.64,1.723,,ALF ORI,AAVSO,STD,,,,
2457034.3826,0.643,0.028,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.32,Z,1.64,1.744,,ALF ORI,AAVSO,STD,,,,
2457034.50972,0.55,,,Vis.,SGQ,,Alf Tau mv=0.86,Alf CMi mv=0.37,Tirion2000.0,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457035.34097,0.6,,,Vis.,SGQ,,Alf Tau mv=0.86,Alf CMi mv=0.37,Tirion2000.0,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457035.3833,0.622,0.022,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.32,Z,1.64,1.756,,ALF ORI,AAVSO,STD,,,,
2457035.3861,0.618,0.016,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.32,Z,1.64,1.734,,ALF ORI,AAVSO,STD,,,,
2457035.4167,0.640,0.024,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.34,Z,1.64,1.726,,ALF ORI,AAVSO,STD,,,,
2457035.63681,0.5,,,Vis.,BBA,BU,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457036.22917,0.6,,,Vis.,BTAD,B,01,09,10star,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457036.2396,0.597,0.033,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,2.04,Z,1.64,1.765,,ALF ORI,AAVSO,STD,,,,
2457036.24,0.3,,,Vis.,SXR,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2457036.24,0.3,,,Vis.,KSZ,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2457036.2944,0.596,0.016,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.55,Z,1.64,1.746,,ALF ORI,AAVSO,STD,,,,
2457036.2958,0.646,0.046,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.54,Z,1.64,1.783,,ALF ORI,AAVSO,STD,,,,
2457036.29722,0.6,,,Vis.,SGQ,U,Alf Tau mv=0.86,,Tirion2000.0,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457036.372,0.79,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,AFOEV,STD,,,,
2457036.39,0.5,,,Vis.,KTZ,,01,09,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2457036.4,0.7,,,Vis.,SYU,,04,09,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457036.4097,0.73,,,Vis.,DXAA,,4,9,20140101,,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2457036.49722,0.70,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457036.56319,0.6,,,Vis.,BEB,,04,09,10 STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457036.65208,0.2,,,Vis.,JDAC,B,0.1,0.4,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457037.3,0.3,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2457037.44236,0.56,,,Vis.,SGQ,,Alf Tau mv=0.86,Alf CMi mv=0.37,Tirion2000.0,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457037.77083,0.5,,,Vis.,HTN,,04,09,training,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457038.23194,0.6,,,Vis.,SGQ,,Alf Tau mv=0.86,,Tirion2000.0,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457038.4111,0.6,,,Vis.,LYAB,,09,04,10startutorial,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2457038.642,0.5,,,Vis.,BGZ,,05,0,SA1968,,,,Z,,,,alf Ori,,STD,,,,
2457038.7,0.4,,,Vis.,BWW,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457038.7,0.7,,,Vis.,SWV,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457038.74306,0.5,,,Vis.,HTN,,04,09,training,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457038.76736,0.6,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457039.25,0.3,,,Vis.,SXR,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2457039.25,0.4,,,Vis.,KSZ,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2457039.361,0.4,,,Vis.,MTON,,,,SPA-TM,NE,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457039.3958,0.6,,,Vis.,KBA,K,04,08,A,BRIGHT STAR CATALOG,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457039.67569,0.6,,,Vis.,MDP,,04,11,10 star,,,,Z,,,,ALF ORI,RASC,STD,,,,
2457039.75208,0.5,,,Vis.,HTN,,04,09,training,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457039.9060,-3.148,0.102,,J,KCD,,GAMMA ORI,,13650PT,POOR CONDITIONS: WIND AND PASSING CLOUD.,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457039.9060,-4.052,0.107,,H,KCD,,GAMMA ORI,,13650PT,POOR CONDITIONS: WIND AND PASSING CLOUD.,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457040.27083,0.4,,,Vis.,TTU,,0.40,"""0.18, 0.87""",J,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457040.3,0.7,,,Vis.,SYU,,04,09,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457040.3,0.75,,,Vis.,BNW,,05,11,1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457040.49792,0.70,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457041.3,0.3,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2457041.63611,0.4,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457041.72222,0.6,,,Vis.,DMPA,,04,09,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457041.74653,0.6,,,Vis.,BBA,UB,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457042.6,0.8,,,Vis.,MOW,,05,12,680101,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457043.27222,0.62,,,Vis.,SGQ,B,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0,"""Roma, Sapienza. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457043.30,0.6,,,Vis.,SBEA,,01,11,10STAR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457043.4326,0.568,0.022,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.42,Z,1.64,1.766,,ALF ORI,AAVSO,STD,,,,
2457043.4354,0.588,0.016,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.43,Z,1.64,1.809,,ALF ORI,AAVSO,STD,,,,
2457043.4451,0.558,0.036,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.47,Z,1.64,1.870,,ALF ORI,AAVSO,STD,,,,
2457043.47153,0.60,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457044.26806,0.62,,,Vis.,SGQ,,alf CMi mv=0.37,alf Tau mv=0.86,Tirion2000.0,"""Roma,San Giuseppe al Trionfale, naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457044.4,0.6,,,Vis.,BNW,,05,11,1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457044.43819,0.65,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457044.8720,-3.09,0.082,,J,KCD,,GAMMA ORI,,13650PT,FAIR CONDITIONS: PASSING HIGH CLOUD,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457044.8720,-4.177,0.037,,H,KCD,,GAMMA ORI,,13650PT,FAIR CONDITIONS: PASSING HIGH CLOUD,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457045.3,0.6,,,Vis.,BNW,,05,11,1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457045.7257,0.9,,,Vis.,KGT,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457046.22917,0.65,,,Vis.,SGQ,,Alf Tau mv=0.86,,Tirion2000.0,"""Roma, Piazza Fonteiana. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457046.3,0.7,,,Vis.,SYU,,04,09,MENTOR,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457046.4819,0.6,,,Vis.,AAX,K,04,09,ATLAS,BSC,,,Z,,,,ALF ORI,REA,STD,,,,
2457046.53125,1.6,,,Vis.,DMMA,BU,21,01,10-star tutorial,,,,T,,,,BETELGEUSE,AAVSO,STD,,,,
2457046.55556,0.6,,,Vis.,SXN,,04,09,ten star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457046.7,0.4,,,Vis.,BWW,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457047.2,0.3,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2457047.30000,0.62,,,Vis.,SGQ,U,alf Tau mv=0.86,alf CMi mv=0.37,Tirion2000.0,"""Roma, Pantheon. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457047.51181,0.5,,,Vis.,DMA,,04,09,X20516BQT,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457047.72222,0.6,,,Vis.,HMQ,,04,09,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457048.03819,0.7,,,Vis.,SANG,,0.1,0.9,1/96a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457048.28472,0.2,,,Vis.,KJAF,,04,01,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457048.35417,1.8,,,Vis.,DMMA,BU,21,01,10-star tutorial,,,,T,,,,BETELGEUSE,AAVSO,STD,,,,
2457048.4,0.3,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2457048.43819,0.60,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457048.55347,0.7,,,Vis.,TDB,,05,11,3/68,,,,Z,,,,ALF ORI,RASC,STD,,,,
2457048.55625,0.3,,,Vis.,CKB,,01,08,13170BMV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457048.56806,0.6,,,Vis.,BBA,B,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457048.58681,0.6,,,Vis.,HMQ,,04,09,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457048.61458,0.5,,,Vis.,KB,,beta ori,alpha cmi,054907 a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457048.653,0.5,,,Vis.,BGZ,,05,01,SA1968,,,,Z,,,,alf Ori,,STD,,,,
2457049.2243,0.594,0.038,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.80,Z,1.64,1.798,,ALF ORI,AAVSO,STD,,,,
2457049.2812,0.6,,,Vis.,KBA,K,04,08,A,BRIGHT STAR CATALOG,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457049.2861,0.7,,,Vis.,DNO,,00,11,atlas,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457049.3,0.65,,,Vis.,BNW,,05,11,1968,,,,Z,,,,ALF ORI,BAV,STD,,,,
2457049.3069,0.606,0.018,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.37,Z,1.64,1.751,,ALF ORI,AAVSO,STD,,,,
2457049.3208,0.599,0.011,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.34,Z,1.64,1.737,,ALF ORI,AAVSO,STD,,,,
2457049.37083,<0.8,,,Vis.,DMMA,Y,21,01,10-star tutorial,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2457049.37083,0.6,,,Vis.,DMMA,B,21,01,10-star tutorial,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2457049.3743,0.599,0.008,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.33,Z,1.64,1.732,,ALF ORI,AAVSO,STD,,,,
2457049.40972,0.58,,,Vis.,SGQ,B,bet Ori mv=0.13,,Tirion2000.0/simbad,"""Roma, via della Giuliana. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457050.25000,0.60,,,Vis.,SGQ,B,alf Tau mv=0.86,,Tirion2000.0/simbad,"""Roma, via delle Fornaci. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457050.35000,0.3,,,Vis.,KJAF,,04,01,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457050.59028,0.6,,,Vis.,MCOA,,04,09,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457050.8650,-3.047,0.013,,J,KCD,,GAMMA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457050.8650,-4.209,0.042,,H,KCD,,GAMMA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2457051.27778,0.62,,,Vis.,SGQ,,Alf CMi mV=0.37,Alf Tau mV=0.86,Tirion2000.0 ,"""Roma,via della Giuliana. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457051.29,0.6,,,Vis.,KTZ,,01,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2457051.3007,0.590,0.032,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.37,Z,1.64,1.763,,ALF ORI,AAVSO,STD,,,,
2457051.6,0.8,,,Vis.,MOW,,05,12,680101,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457051.61458,0.6,,,Vis.,HMQ,,04,09,10 Star Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457052.5,1.2,,,Vis.,SHS,B,17,,sa1965,,,,T,,,,alf Ori,AAVSO,STD,,,,
2457053.23056,0.65,,,Vis.,SGQ,,Alf CMi mV=0.37,Alf Tau mv=0.86,Tirion2000.0,"""Roma, via Ciamarra. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457053.3,0.3,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2457053.402,0.9,,,Vis.,TLA,B,,,SPA,B70x16,,,U,,,,ALPHA ORI,BAA-VSS,STD,,,,BAAVSS
2457053.55556,0.35,,,Vis.,JDAC,B,0.4,0.9,10 Star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457054.1979,0.593,0.019,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.94,Z,1.64,1.771,,ALF ORI,AAVSO,STD,,,,
2457054.1993,0.593,0.018,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.93,Z,1.64,1.759,,ALF ORI,AAVSO,STD,,,,
2457054.2028,0.592,0.022,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.89,Z,1.64,1.752,,ALF ORI,AAVSO,STD,,,,
2457054.2215,0.598,0.038,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.71,Z,1.64,1.762,,ALF ORI,AAVSO,STD,,,,
2457054.2285,0.596,0.014,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.65,Z,1.64,1.748,,ALF ORI,AAVSO,STD,,,,
2457054.2889,0.583,0.010,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.38,Z,1.64,1.749,,ALF ORI,AAVSO,STD,,,,
2457054.33333,0.53,,,Vis.,RJOC,,Alf Tau,Alf CMi,"web \""el cielo del m",Madrid (Spain),,,Z,,,,alf Ori,AAVSO,STD,,,,
2457054.3347,0.582,0.008,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.32,Z,1.64,1.747,,ALF ORI,AAVSO,STD,,,,
2457054.3361,0.596,0.005,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.32,Z,1.64,1.755,,ALF ORI,AAVSO,STD,,,,
2457054.3368,0.580,0.018,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.32,Z,1.64,1.747,,ALF ORI,AAVSO,STD,,,,
2457054.3424,0.576,0.008,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.32,Z,1.64,1.762,,ALF ORI,AAVSO,STD,,,,
2457054.3778,0.556,0.017,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.36,Z,1.64,1.723,,ALF ORI,AAVSO,STD,,,,
2457054.3847,0.589,0.024,,V,VOL,,GAM ORI,ZET ORI,,DSLR,1,1.37,Z,1.64,1.754,,ALF ORI,AAVSO,STD,,,,
2457055.27083,0.57,,,Vis.,SGQ,,Alf CMi mV=0.37,Alf Tau mV=0.86,Tirion2000.0 ,"""Lanciano, S. Agostino. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457055.42361,0.8,,,Vis.,PANA,,01,09,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457055.45417,0.55,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457056.41875,0.56,,,Vis.,SGQ,,Alf CMi mV=0.37,,Tirion2000.0/simbad,"""Roma, Sesto Celere. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457057.43958,0.60,,,Vis.,TDG,,04(ALFCMI),085(ALFTAU),14839BDL,OTHER COMP 01 (BET ORI),,,Z,,,,ALF ORI,AAVSO,STD,,,,
2457058.236,0.6,,,Vis.,GELB,B,0.1,,THE AAVSO VARIABLE,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
